año;fallecidos;siniestros;parque_vehicular;Estadarizacion siniestros;Estandarizacion parque vehicular
1972;1792;26727;401114;105.3034148;1670.099785
1973;1719;23480;417767;91.73218016;1739.70304
1974;1269;18356;431172;70.31579391;1795.730881
1975;1054;16602;445693;62.98473585;1856.423181
1976;1079;17716;466049;67.64083543;1941.503579
1977;1071;19638;514180;75.67407009;2142.672995
1978;1207;19623;589788;75.61137575;2458.685901
1979;1309;21506;608630;83.48160513;2537.43835
1980;1434;25606;797180;100.6180578;3325.506194
1981;1552;33536;863038;133.7624651;3600.767779
1982;1274;55272;912749;224.6107422;3808.540999
1983;1363;47889;916360;193.7525884;3823.633616
1984;1210;39207;930457;157.4651049;3882.553756
1985;1049;30751;944564;122.1222162;3941.515692
1986;1191;35268;962564;141.0015715;4016.748899
1987;1198;32790;972042;130.6444667;4056.363362
1988;1248;34226;985843;136.6464047;4114.046334
1989;1465;37217;1018255;149.147656;4249.516262
1990;1587;39479;1074228;158.6019623;4483.462278
1991;1602;40368;1174194;162.3176468;4901.282432
1992;1700;43402;1356503;174.9986218;5663.265251
1993;1760;44837;1476128;180.9963802;6163.252605
1994;1762;44236;1508957;178.4844271;6300.465436
1995;1890;50790;1678675;205.8776736;7009.822626
1996;1925;57775;1826137;235.0723376;7626.158136
1997;1883;52394;1988647;212.5817883;8305.388606
1998;1959;49890;2024510;202.1160133;8455.282412
1999;1655;47052;2145437;190.2542443;8960.711635
2000;1698;40926;2128855;164.6498762;8891.405133
2001;1562;44831;2176501;180.9713025;9090.547432
2002;1549;41734;2218062;168.0270113;9264.256727
2003;1703;44450;2195878;179.3788663;9171.535979
2004;1757;46620;2298620;188.4486474;9600.958765
2005;1626;46328;2351662;187.2281976;9822.654308
2006;1652;44839;2657892;181.0047395;11102.58014
2007;1645;53682;2824570;217.9651422;11799.23128
2008;1782;57087;3023050;232.1967572;12628.80277
2009;1508;56330;3139088;229.0327829;13113.79782
2010;1595;57746;3375523;234.9511285;14102.00689
2011;1573;62834;3654727;256.2170484;15268.97424
2012;1523;61791;3973913;251.857702;16603.05127
2013;1623;73276;4263084;299.8606677;17811.67692
2014;1630;78445;4568664;321.4651369;19088.88599
2015;1646;79880;4751130;327.4628954;19851.52501
2016;1675;91711;4960945;376.9120105;20728.47253
2017;1483;94879;5190704;390.1530549;21688.77844
2018;1507;89311;5498895;366.8809162;22976.90051
2019;1617;89983;5718409;369.6896226;23894.38619
